name;time;threads;USE_LOCAL_MEM;TBX;TBY;
medfilt;128.79;1;0;1;1;
medfilt;123.52;4;0;1;4;
medfilt;148.61;8;0;1;8;
medfilt;127.49;16;0;1;16;
medfilt;146.50;32;0;1;32;
medfilt;124.84;4;0;4;1;
medfilt;148.72;16;0;4;4;
medfilt;125.18;32;0;4;8;
medfilt;145.92;64;0;4;16;
medfilt;123.08;128;0;4;32;
medfilt;147.18;8;0;8;1;
medfilt;126.78;32;0;8;4;
medfilt;145.00;64;0;8;8;
medfilt;125.65;128;0;8;16;
medfilt;146.70;256;0;8;32;
medfilt;123.88;16;0;16;1;
medfilt;147.62;64;0;16;4;
medfilt;121.69;128;0;16;8;
medfilt;148.32;256;0;16;16;
medfilt;123.94;512;0;16;32;
medfilt;149.05;32;0;32;1;
medfilt;124.62;128;0;32;4;
medfilt;151.08;256;0;32;8;
medfilt;126.90;512;0;32;16;
medfilt;146.03;1024;0;32;32;
medfilt;167.45;1;1;1;1;
medfilt;151.69;4;1;1;4;
medfilt;135.80;8;1;1;8;
medfilt;163.02;16;1;1;16;
medfilt;135.51;32;1;1;32;
medfilt;134.55;4;1;4;1;
medfilt;149.20;16;1;4;4;
medfilt;136.77;32;1;4;8;
medfilt;159.68;64;1;4;16;
medfilt;136.20;128;1;4;32;
medfilt;155.10;8;1;8;1;
medfilt;133.82;32;1;8;4;
medfilt;153.51;64;1;8;8;
medfilt;136.38;128;1;8;16;
medfilt;166.30;256;1;8;32;
medfilt;137.59;16;1;16;1;
medfilt;147.07;64;1;16;4;
medfilt;136.61;128;1;16;8;
medfilt;166.23;256;1;16;16;
medfilt;296.91;512;1;16;32;
medfilt;162.14;32;1;32;1;
medfilt;133.54;128;1;32;4;
medfilt;166.12;256;1;32;8;
medfilt;296.03;512;1;32;16;
medfilt;313.80;1024;1;32;32;
