name;time;threads;USE_LOCAL_MEM;TBX;TBY;
medfilt;116.04;1;0;1;1;
medfilt;117.92;4;0;1;4;
medfilt;135.09;8;0;1;8;
medfilt;110.40;16;0;1;16;
medfilt;143.45;32;0;1;32;
medfilt;114.34;4;0;4;1;
medfilt;108.58;16;0;4;4;
medfilt;144.91;32;0;4;8;
medfilt;109.53;64;0;4;16;
medfilt;109.90;128;0;4;32;
medfilt;133.71;8;0;8;1;
medfilt;108.83;32;0;8;4;
medfilt;146.90;64;0;8;8;
medfilt;109.94;128;0;8;16;
medfilt;107.87;256;0;8;32;
medfilt;143.05;16;0;16;1;
medfilt;112.85;64;0;16;4;
medfilt;108.04;128;0;16;8;
medfilt;142.38;256;0;16;16;
medfilt;109.12;512;0;16;32;
medfilt;108.81;32;0;32;1;
medfilt;111.49;128;0;32;4;
medfilt;107.01;256;0;32;8;
medfilt;134.10;512;0;32;16;
medfilt;111.75;1024;0;32;32;
medfilt;165.22;1;1;1;1;
medfilt;117.46;4;1;1;4;
medfilt;151.10;8;1;1;8;
medfilt;121.28;16;1;1;16;
medfilt;112.57;32;1;1;32;
medfilt;163.81;4;1;4;1;
medfilt;118.41;16;1;4;4;
medfilt;106.13;32;1;4;8;
medfilt;146.09;64;1;4;16;
medfilt;112.91;128;1;4;32;
medfilt;117.25;8;1;8;1;
medfilt;119.04;32;1;8;4;
medfilt;108.24;64;1;8;8;
medfilt;156.73;128;1;8;16;
medfilt;115.19;256;1;8;32;
medfilt;114.27;16;1;16;1;
medfilt;124.00;64;1;16;4;
medfilt;105.82;128;1;16;8;
medfilt;109.36;256;1;16;16;
medfilt;132.47;512;1;16;32;
medfilt;107.64;32;1;32;1;
medfilt;146.41;128;1;32;4;
medfilt;107.53;256;1;32;8;
medfilt;110.56;512;1;32;16;
medfilt;142.42;1024;1;32;32;
