name;time;threads;USE_LOCAL_MEM;TBX;TBY;
medfilt;951.23;1;0;1;1;
medfilt;252.93;4;0;1;4;
medfilt;131.74;8;0;1;8;
medfilt;70.99;16;0;1;16;
medfilt;40.39;32;0;1;32;
medfilt;247.57;4;0;4;1;
medfilt;64.25;16;0;4;4;
medfilt;33.38;32;0;4;8;
medfilt;24.47;64;0;4;16;
medfilt;19.80;128;0;4;32;
medfilt;125.06;8;0;8;1;
medfilt;32.37;32;0;8;4;
medfilt;23.52;64;0;8;8;
medfilt;18.87;128;0;8;16;
medfilt;20.89;256;0;8;32;
medfilt;63.11;16;0;16;1;
medfilt;23.17;64;0;16;4;
medfilt;18.59;128;0;16;8;
medfilt;20.58;256;0;16;16;
medfilt;20.66;512;0;16;32;
medfilt;31.87;32;0;32;1;
medfilt;18.49;128;0;32;4;
medfilt;20.43;256;0;32;8;
medfilt;19.91;512;0;32;16;
medfilt;20.03;1024;0;32;32;
medfilt;968.48;1;1;1;1;
medfilt;248.99;4;1;1;4;
medfilt;127.41;8;1;1;8;
medfilt;65.87;16;1;1;16;
medfilt;34.99;32;1;1;32;
medfilt;249.39;4;1;4;1;
medfilt;62.68;16;1;4;4;
medfilt;31.79;32;1;4;8;
medfilt;23.07;64;1;4;16;
medfilt;18.74;128;1;4;32;
medfilt;126.18;8;1;8;1;
medfilt;31.57;32;1;8;4;
medfilt;22.93;64;1;8;8;
medfilt;18.58;128;1;8;16;
medfilt;20.26;256;1;8;32;
medfilt;63.73;16;1;16;1;
medfilt;22.89;64;1;16;4;
medfilt;18.43;128;1;16;8;
medfilt;20.03;256;1;16;16;
medfilt;19.59;512;1;16;32;
medfilt;32.29;32;1;32;1;
medfilt;18.42;128;1;32;4;
medfilt;19.98;256;1;32;8;
medfilt;19.11;512;1;32;16;
medfilt;19.98;1024;1;32;32;
