name;time;threads;USE_LOCAL_MEM;TBX;TBY;
medfilt;4993.35;1;0;1;1;
medfilt;1305.03;4;0;1;4;
medfilt;664.42;8;0;1;8;
medfilt;341.78;16;0;1;16;
medfilt;180.96;32;0;1;32;
medfilt;1294.87;4;0;4;1;
medfilt;330.62;16;0;4;4;
medfilt;167.74;32;0;4;8;
medfilt;115.92;64;0;4;16;
medfilt;95.78;128;0;4;32;
medfilt;653.31;8;0;8;1;
medfilt;166.04;32;0;8;4;
medfilt;114.88;64;0;8;8;
medfilt;94.51;128;0;8;16;
medfilt;98.36;256;0;8;32;
medfilt;328.32;16;0;16;1;
medfilt;114.22;64;0;16;4;
medfilt;94.22;128;0;16;8;
medfilt;97.84;256;0;16;16;
medfilt;95.57;512;0;16;32;
medfilt;164.90;32;0;32;1;
medfilt;94.05;128;0;32;4;
medfilt;97.67;256;0;32;8;
medfilt;95.78;512;0;32;16;
medfilt;96.46;1024;0;32;32;
medfilt;5031.92;1;1;1;1;
medfilt;1293.87;4;1;1;4;
medfilt;652.64;8;1;1;8;
medfilt;330.15;16;1;1;16;
medfilt;168.86;32;1;1;32;
medfilt;1342.44;4;1;4;1;
medfilt;338.37;16;1;4;4;
medfilt;169.90;32;1;4;8;
medfilt;116.38;64;1;4;16;
medfilt;94.79;128;1;4;32;
medfilt;675.47;8;1;8;1;
medfilt;169.48;32;1;8;4;
medfilt;116.30;64;1;8;8;
medfilt;94.54;128;1;8;16;
medfilt;100.26;256;1;8;32;
medfilt;339.76;16;1;16;1;
medfilt;116.24;64;1;16;4;
medfilt;94.31;128;1;16;8;
medfilt;99.95;256;1;16;16;
medfilt;97.05;512;1;16;32;
medfilt;170.66;32;1;32;1;
medfilt;94.25;128;1;32;4;
medfilt;99.89;256;1;32;8;
medfilt;97.42;512;1;32;16;
medfilt;96.62;1024;1;32;32;
